,title,ingredients,instructions
168,Рис в крапинку,вода горчица мак масло_топленое рис соль,"Минимальный набор. Главное - хороший рис. | В раскалённое масло положить семена горчицы, когда они только начнут лопаться (будьте осторожны, они быстро начинают лопаться и разлетаться), | Добавьте мак, перемешайте, подержите на огне несколько секунд, | Всыпьте рис, перемешайте, залейте водой, посолите. | Перемешайте, залейте водой, посолите. | Доведите до кипения, закройте крышкой и варите 10 минут на слабом огне. Наш индийский гарнир готов! | Наш индийский гарнир готов! Традиционно в Индии почти все блюда обильно поливают соком лайма. Рис не исключение. К рису подают всевозможные «топинги» - чатни (соусы), райты (салаты с йогуртом) и пикули (маринованные в масле с приправами овощи или фрукты), запивают ласси (сладкий или солёный йогурт со специями, взбитый с водой)."
169,Рис по-болгарски,лук масло_сливочное рис соль,"В сковороде растопить сливочное масло. Небольшую луковицу мелко нарезать и немного поджарить (я жарю до золотистого цвета, для мужа). | Добавить рис и обжарить его до прозрачного состояния, это займёт буквально минутку. | Переложить рис в форму для запекания. | Залить водой (автор предлагает пропорции 1:2, у меня получается 1:3, может быть, зависит от риса, но я всегда пользуюсь такими пропорциями; у меня 1:2 - получается рис ""на зубок""), посолить. И хочу добавить, что я пользуюсь длиннозёрным пропаренным рисом. Если использовать белый круглый рис, лучше воспользоваться пропорцией 1:2. | Накрыть крышкой или фольгой. Отправить в предварительно разогретую до 200 градусов духовку на 35-45 минут или до готовности риса. | Рис готов! | Перед подачей рис можно посыпать свежемолотым перцем. Подавать как гарнир к любым блюдам. У нас была тушёная курочка, но заснять не успела!!! | Приятного аппетита!!!"
170,"Плов ""Озорник""",лапша_(тонкая_паутинка) лук масло_растительное морковь рис специи шампиньоны,"Паутинка - это название тонкой лапши, а не шали для тепла... А душу греет... И готовить приятно. Морковь, рис, шампиньоны, специи - можно и свои грибочки, лесные, собственноручно собранные... Вот и все ингредиенты. | На сухой сковороде начинаем обжаривать паутинку... | В другой сковороде - лучок (по желанию), морковь... Все обжариваем на растительном масле и до полуготовности... | Не забудьте помешивать паутинку... почаще... вот она какая получается веселая... | А тем временем в кастрюле уже должен готовиться рис. Я почему-то люблю круглый, шлифованный - он не разваривается и получается рисинка к рисинке. Добавляем к нему лапшу, морковь и продолжаем тушить под крышкой. | Быстро достаем замороженные или свежие шампиньоны, бросаем на раскаленную сковороду и через пять минут бросаем в кастрюлю с пловом... | А теперь самое главное - не упустить момент! Все хорошо и аккуратно перемешиваем, еще буквально пять минут - выключаем огонь и укрываем пловик теплым полотенцем... минут на 15. Я всегда так делаю, по старинным заповедям моей бабушки... Хотя сейчас - и с пылу, с жару все едят! Ну, вот теперь можно и в тарелку... Добавляем немного корейской моркови, зелени - и вот пожалуйте на дегустацию... | Мне даже самой понравилось. И на вкус, и на цвет... Пробуйте, угощайтесь. Мои домашние немедленно попросили повторения. И так продолжалось дня три... ПРИЯТНО... ГО... АППЕТИТА!"
171,Тайны приготовления коричневого риса,вода масло_оливковое рис соль,"Я очень люблю коричневый рис, но он у меня никогда не получался. То не доварится, то переварится.... А недавно зашла в гости к моей подруге, и она угостила меня этим рисом. Вкус бесподобный. Рис рассыпчатый, вкусный, просто объедение!!! Я конечно же стала ""выпытывать"" все тайны его приготовления. Результат был потрясающий! Вот спешу поделиться с вами! Рис хорошо промыть холодной водой. Вода, которая стекает, должна быть прозрачной. | В хорошо разогретый вог наливаем масло и кладем рис. Постоянно помешивая, ждем, когда он немного подсохнет. Масло будет как бы обвалакивать рис. Это предотвратит склеивание риса при дальнейшей варке. | Затем наливаем воду, перемешиваем один раз и оставляем на сильном огне до закипания воды. | Как только вода закипит, уменьшаем огонь до минимума, закрываем крышку и оставляем до полного впитывания воды. | Получается вот такой рис. Выключаем газ, закрываем его крышкой и оставляем томиться минут на 30."
172,Каша по-ирокезски из дикого риса,грудинка лук масло_растительное рис смесь_перцев специи яйцо_куриное,"Продукты для блюда. Ещё лук репчатый опоздал. | Для приготовления индейских блюд рис надо замачить в подсоленой тёплой воде с добавлением карри, на один час. После чего отварить на медленном огне в 260 мл воды, в течение 50 минут. | Грудинку нарезать брусочками, а репчатый лук кубиками. | В разогретом растительном масле быстро обжариваем лук, 2 минуты. | Добавляем грудинку и тоже обжариваем минуты 2-3. Вливаем слегка взбитые яйца и быстро всё перемешиваем. Солим. | Добавляем рис и смесь перцев. | Выкладываем в чашку и посыпаем зелёным луком. | Ирокезы перед трапезой выкладывали рис на мясо, посыпали шалфеем и зелёным луком, но так как шалфей как специя у нас не продаётся, я обошлась только луком и перемешала, придав блюду более европейскую подачу."
173,Картофельно-рисовые лепешки с рыбой,зелень йогурт картофель лук масло_растительное масло_сливочное морковь мука_пшеничная рис рыба специи цедра_лимона яйцо_куриное,"Поиграем в ковбоев? Достанем оружие и ковбойские шляпы. Представим, что мы на Диком западе. А на ужин у нас вкусные лепешки с рыбой под соусом. | Продукты, что нам понадобятся для приготовления ужина. | Картофель отварить в ""мундире"". Очистить, сделать пюре. | Морковь натереть на мелкой терке, лук мелко нарезать, обжарить на растительном масле. | Рис сварить, как указано на упаковке. Смешать картофель, рис, лук + морковь, добавить 2 столовые ложки муки. Посолить, поперчить. Из массы сформировать лепешки. | Обжарить с двух сторон до золотистой корочки. | Рыбу почистить, нарезать на порционные кусочки, посолить, обвалять в муке, пожарить. (Можно запечь рыбу в духовке, кому как нравится) | Соус: В сковороде растопить сливочное масло, добавить натертые на мелкой терке вареные яйца, цедру лимона, все прогреть. Добавить укроп. Соус показался мне густоватым, я разбавила его двумя ложками натурального йогурта. | На тарелку выкладываем лепешку, сверху кусочек рыбы. Поливаем соусом, украшаем лимоном и зеленью. | Оружие и шляпы оставим в сторонке. Пора подкрепиться!!! | Приятного аппетита!"
174,Гречка томленая с беконом,бекон вода крупа_гречневая соль,"Готовим продукты. Сегодня (только для съемки) у меня горшочек. А обычно кастрюлька на 2 литра с толстым дном. Гречку отмеряю кружкой, т. к. в процессе она еще понадобится для кипятка. | На брусочки порезать бекон (или любое копченое мясо) | В подогретый горшочек (кастрюлю) выкладываем бекон. На тихом огне вытапливаем жир. В это время хорошо моем гречку. | Подсушиваем гречку на сковороде | Выкладываем гречку к бекону, хорошо перемешать. Сразу отмеряем 1 полную кружку кипятка. Вливаем в горшочек. | Ждем, пока закипит. | Как только гречка закипела, отмеряем 0,5 чашки кипятка. | Вливаем, перемешиваем (здесь надо попробовать воду на соль, посолить, если бекон несоленый) | Довести до кипения. Как только появятся первые пузырьки, выключаем плиту. На подушку постелить полотенце, поставить кастрюлю с гречкой, сверху закрыть вторым концом полотенца и положить сверху ещё подушку. 45 минут занимаемся любыми делами - НИЧЕГО НЕ ПОДГОРИТ. | Все, каша готова | Ароматная и рассыпчатая | Приятного аппетита. P.S. А еще это блюдо очень дешевое, иногда выручает перед зарплатой."
175,Стейк с диким рисом и капустой,бекон капуста_краснокочанная лук перец_болгарский рис смесь_перцев филе_куриное,"Блюдо для ковбоев готовили быстро, а то и пулю можно было получить. Как только заказ был принят, повар отбивал филе птицы или мясной стек, солил, перчил и жарил. | Дикий рис всегда был в почёте, так как считался продуктом силы и долголетия. Рис замачивали заранее на час, в подсоленной и подперчённой тёплой воде, после чего варили 40-50 минут. | Краснокочанную капусту шинковали соломкой. | Сладкий перец чистили от семян и нарезали соломкой. | Репчатый лук - полукольцами. | Бекон - брусочками. | На разогретой сковороде, с половиной ложки растительного масла, обжаривали бекон до лёгкого золотистого цвета и удаляли из сковороды. | На образовавшемся жире обжаривали капусту и перец, минут 10, после закладывали лук, всё обжаривали, не отходя от плиты, постоянно помешивая. Солили, перчили, добавляли тимьян и паприку по щепотке. | Выкладывали в сковороду рис и обжаренный бекон, прогревали, выкладывали к мясу, посыпав зелёным луком. | Ужин для голодного ковбоя готов!"
178,Ячневая каша жареная,вода крупа_ячневая масло_сливочное соль,"Ставим закипать воду с солью. А в это время на сухой сковороде обжариваем крупу. Её необходимо все время помешивать, чтобы она ни в коем случае не пригорела. Крупа должна хорошо прогреться, просушиться и немного изменить цвет. Времени это занимает как раз столько, сколько нужно для закипания воды. | Теперь постепенно вводим крупу в кипящую воду. Именно постепенно, так как температура крупы выше температуры воды, и при соприкосновении происходит небольшой взрыв. Если высыпать всю крупу за раз, то кипящая вода может просто выплеснуться из кастрюли. После того, как вся крупа всыпана в воду, хорошо ее перемешать, закрыть неплотно крышкой и поставить вариться на самом маленьком огне. | Варим до момента выкипания воды. После этого добавляем сливочное масло (несколько кусочков) и хорошо перемешиваем. Кастрюлю накрываем крышкой и хорошо укутываем. Каша должна ""дойти"". | Через 20 минут ароматная и вкусная каша готова. Можно ее есть как гарнир к мясу, можно с овощами, а можно приготовить необычный салат с креветками."
179,Каша из пшена под сладким соусом,мед молоко пшено сахар сметана соль,"Пшено промыть под проточной водой. Залить кипятком (ошпарить), слить воду. Залить молоком, добавить щепотку соли и немного сахара (зависит от того, какую кашу готовить - сладкую или солёную, определяется количество соли и сахара). и варить до готовности на среднем/медленном огне, готовность наступит, когда каша загустеет и испарится практически вся жидкость. Оставить остывать, закрыв кастрюлю крышкой (упариваться). | Приготовить сладкий соус. В данном случае - сметана с мёдом (главное, чтобы у ребёнка не было аллергии на мёд), можно использовать любые натуральные, лучше домашнего приготовления, ягодные сиропы и варенья. | Слишком сладкое не нужно готовить - ребёнка нужно приучать к вкусному, а не переслащенному! Можно сметану слегка подсолить и подавать к несладкой пшенной кашке. | Из остывшей, но тёплой каши, влажными чистыми руками сформировать шарики, размером чуть меньше грецкого ореха. Масло в кашу добавлять не обязательно - каша достаточно питательна, не стоит её отягощать. | Подавать с соусом. Один такой шарик делится ровно на два ""укуса"". Любой ребёнок оценит такую оригинальную подачу каши! И не только ребёнок - взрослым почитателям каши из пшена также понравится!!! Приятного аппетита!"
180,Рисовые шарики,вода масло_растительное нори огурец паприка_сладкая рис рыба сухари_панировочные яйцо_куриное,"Варим рис как для суши или роллов. Хорошо его промываем, засыпаем в холодную воду, доводим на сильном огне до кипения, убавляем его и варим до выпаривания всей воды. Оставляем под крышкой остывать. | Тем временем готовим начинку. Лист нори разрезаем на квадраты размером 2 на 2 см. | Огурец нарезаем кусочками 0,5 на 1 см. | Рыбу нарезаем такими же, как огурец, кусочками. | Слегка смачиваем кусочек нори, кладем на него огурец и рыбу. | Слегка взбиваем яйцо. | Смешиваем панировочные сухари с солью и измельчённой паприкой и столовой ложкой подсолнечного масла (если будем жарить в аэрофритюрнице, если нет, то можно обойтись без масла). | Смачиваем в яйце руку, кладем на нее чайную ложку риса и разравниваем ее в тонкую лепешку. В ее середину кладем нори с огурцом и рыбой. | Формируем шарик, обваливаем его в панировочных сухарях и жарим во фритюре до золотистой корочки или, как я, в аэрофритюрнице. | Кушаем с салатами из овощей и соевым соусом. Приятного аппетита!"
181,Гречневый плов с сельдереем и грибами,вода грибы крупа_гречневая лук масло_растительное морковь сельдерей_корневой соль специи чеснок,"Корень сельдерея, морковь почистим и нарежем некрупной соломкой. Лук - полукольцами. Немного потушим на растительном масле, выложим в толстостенную кастрюлю. | Грибы помоем и нарежем соломкой. Если вы используете шиитаке (впрочем, как и вешенки), учитывайте, что их ножки жестковаты. Поэтому грибные ножки я мелко нарезала. Обжариваем на той же сковороде. Недолго, минут 4-8, чтобы грибы не стали ""резиновыми"". Можно совсем не добавлять грибы, будет тоже вкусно. В конце добавим измельченный чеснок. | Выкладываем грибы на овощи. | Гречневую крупу перебираем, промываем и засыпаем сверху. Заливаем кипятком (чтобы покрывало где-то на палец), приблизительно 2 стакана. Солим. Если используете специи - добавляете и их тоже. | Доводим на сильном огне до кипения и дальше варим, накрыв плотно крышкой, на медленном огне до полного испарения воды. Если вдруг гречка к этому времени не успела свариться, можно долить еще немного воды и доварить. Выключить огонь и оставить кашу ""доходить"" 10-15 мин. Можно укутать полотенцем. При подаче можно украсить свежей зеленью. | Проверено - вкусно) Также можно готовить, совсем не используя масло - просто овощи и грибы надо немного потушить в небольшом количестве воды, а дальше - по рецепту. Поститесь на здоровье!"
182,Гречнево-рисовая каша с грибным ассорти,вешенки вода грибы крупа_гречневая лук масло_растительное рис соль шампиньоны,"Для начала нужно приготовить две рассыпчатых каши. Берем чашку, немного меньше, чем та, в которой Вы обычно отмеряете крупу для каши, ведь ее получится как бы в два раза больше. Отмеряем гречку | и рис. | Чтобы вышла вкусная гречка, ее для начала нужно прокалить на сухой сковороде до появления выраженного гречневого запаха. | Далее заливаем ее горячей водой, воды должно быть ровно в два раза больше, чем гречки (т.е. две чашки). Солим, накрываем крышкой, доводим до кипения и варим 5 минут на очень сильном огне, потом огонь убавляем до минимального и варим еще 10 минут. | Рассыпчатая гречневая каша готова. Сюда бы сливочного масличка замешать! М-м-м-м-мяу! Но нельзя (грозно топая ножкой и истекая слюной) – пост! | Теперь как приготовить рассыпчатый рис. Воды нужно в 1,5 раза больше, чем риса. Рис лучше всего залить кипятком, чтобы «заварилась» корочка на поверхности рисинок и они не слипались. Тоже солим, накрываем крышкой, доводим до кипения и варим на медленном огне 15 минут. Вуа-ля! | А пока наши каши варятся, займемся грибами. Шампиньоны почистить, нарезать некрупно. | Вешенку тоже нарезать. | Лук нарезать кубиками. | Сначала обжарить на растительном масле лук (пардон, фотка не сильно четко удалась) и вытащить. Так лук отдаст аромат маслу, а вытащить нужно, дабы не подгорел. | Потом по очереди грибы. Грибы обжариваем на сильном огне и, пока не появится корочка, не солим. Если посолить сразу, то грибы дадут сок, который придется долго и нудно выпаривать. | А теперь еще один нюансик. Тепличные шампиньоны (которые мне доступны), как и вешенка, грибы довольно пресные и неароматные, а цены на лесные грибы – кусаются. И тут можно воспользоваться следующей хитростью. У меня было три вида сушеных карпатских грибов: белые, лисички и подберезовики. | Я их смолола в порошок в кофемолке. Если таким порошком посыпать наши тепличные грибы во время жарки, то они приобретут вкус и аромат лесных. Еще один приемчик, чтобы сделать грибы ароматней, – перед жаркой полить их соевым соусом, только потом не солить. Соевый соус с грибами работает как усилитель их вкуса. Но сегодня я довольствовалась солью и грибным порошком. | Соединить грибы вместе, добавить лук и еще немного поджарить. | Приятного аппетита! | Попробуйте, Вам понравится!"
183,Рис с корицей и имбирeм,имбирь кардамон корица масло_растительное рис соль,"Специи в этом рецепте можно использовать любые. Я корицу раньше не очень любила, по крайней мере в сладких блюдах, а вот в сочетании с курицей, мне она очень нравилась. Имбирь нравится во всех блюдах, но только свежий. Начнём с него. Берём небольшой кусочек. Чтобы Вам было лучше понятно какого он размера, сняла вместе со спичечным коробком. | Имбирь нарезаем мелко. Можно натереть, но тогда постараться сохранить сок. | Измельчаем корицу и кардамон. Я - в ступке. Последнее время предпочитаю специи не молотые, а в их естественном виде, они более ароматные. Но можно использовать молотые. В этом случае кардамона, на кончике ножа, корицы - 0,5 чайной ложки. | В кастрюлю наливаем воду и ставим на огонь. Воды нужно из расчёта: на один стакан риса - 1,75 стакана воды. То есть немного меньше, чем обычно. | Растительное масло разогреваем на сковороде. Кладём кардамон и корицу. | И сразу же имбирь. Действовать нужно быстро, чтобы специи не сгорели. | К этому моменту рис уже должен быть подготовлен. Его нужно очень хорошо промыть. Я делаю это прямо под струёй воды. И хоть немного, но дать обсохнуть. | Через секунд 20, после имбиря (все эти 20 секунд нужно интенсивно помешивать), выкладываем рис. И тоже сразу начинаем мешать. Обжариваем всё вместе, минуты 3-4. | В закипевшую воду добавляем соль по вкусу. Выкладываем рис. | Накрываем крышкой и готовим 3 минуты на сильном огне, а потом убавляем огонь до минимума и оставляем минут на 25-30, до готовности. Подавать как самостоятельное блюдо или как гарнир к курице рыбе или мясу. | О пользе риса здесь: http://www.povarenok .ru/articles/show/60 82/"
184,Гречневая каша как самостоятельное блюдо,вода крупа_гречневая масло_сливочное петрушка соль яйцо_куриное,"Гречку прокаливаем на сухой сковородке до появления выраженного гречневого запаха. | Заливаем водой, солим, доводим до кипения, накрывам крышкой и варим на сильном огне 5 минут, потом уменьшаем огонь до минимума и варим еще 10-15 минут, в зависимости от того, сколько Вы взяли воды. Сразу хочу предупредить, что у меня гречка переваренная, т. к. в моей семье такую любят, а готовить то, что у меня есть не будут, только для того, чтобы на фотографиях были целые зернышки, я смысла не вижу. | А теперь устрою маленький мастер-класс по варке яиц. Эти приемчики я тоже ""подглядела"" в передаче ""Специя"". Дело в том, что в яйцах в тупом конце расположена воздушная прослойка, содержащая в своем составе сероводород. Этот воздух частично выходит при варке через поры скорлупы и, чем больше его выйдет, тем вкуснее будут яйца. Поэтому можно яйцам ""помочь"", проколов скорлупу иголкой. Правда есть риск, что ""воздушный мешок"" в яйце окажется сбоку. Но растраиваться по поводу такого ""испорченного"" яйца не стоит, т. к. оно не сильно свежее. Просто оно долго лежало на боку и ""воздушный мешок"" попросту перетек на бок яйца. В любом случае сварить его все равно можно, но в подсоленной воде, но об этом ниже. | Вот тут я попыталась сфотографировать, как интенсивно из прокола выходит воздух. И еще один момент. Считается, что если варить яйца в подсоленной воде, то они не треснут. В этом есть доля правды, но совсем так. Яйца треснуть при нагревании воды могут всегда, но соль способствует сворачиванию белка. Поэтому белок на поверхности трещины быстро затвердевает и не выходит наружу. Так что заливаем яйца холодной водой, хорошо ее солим, доводим до кипения и варим минут 5. | С половины пучка петрушки обдираем листики. | Мелко рубим ножом. | Готовые яйца режем кубиками. Легче всего это, конечно, сделать яйцерезкой. | К этому времени каша как раз сварилась. Больше всего гречка любит сливочное масло, и чем больше, тем лучше. Кашу маслом не испортишь. Я взяла шматок в 50 гр., но если Вам это кажется слишком жирно, положите меньше. | Итак, добавляем в кашу сливочное масло, петрушку, яйца, хорошо перемешиваем - готово! | Приятного аппетита!"
185,Palle ovale - Овальные шары,бульон вишня грибы лук масло_оливковое масло_растительное масло_сливочное моцарелла мука_пшеничная пармезан рис сухари_панировочные тимьян яйцо_куриное,"Сначала готовим ризотто. Вот продукты, которые нам понадобятся. Грибы и лук нарезать кубиками, тимьян мелко нарезать, сыр пармезан измельчить почти в порошок. Овощной бульон довести до кипения и держать горячим. | Сливочное и оливковое масла растопить в глубокой сковороде. Добавить лук и пассировать 1 минуту. | Добавить грибы и готовить примерно 8 минут. Грибы должны дать сок. | Теперь положить рис и вишню и хорошо перемешать. | Постепенно подливать бульон, порциями. Готовить, периодически помешивая. Когда рис готов, добавить тимьян и сыр и хорошо перемешать. Вот наше ризотто готово. Для дальнейшего использования надо дать ему остыть. | Сыр моцарелла нарезать кубиками. | Из остывшего ризотто делаем шарики. У меня получилось 20. | Пальцем делаем в центре шарика углубление и кладем кусочек моцареллы. | И обратно закатываем придавая овальную форму. Моцарелла должна быть внутри. | Яйца взбить. | Каждый шар обвалять в муке. | Затем обмакнуть в яйцо. | Затем обвалять в сухарях. | Получаются вот такие заготовки. | Растительное масло налить в глубокую сковороду и нагреть до температуры 350F (175С). | Погрузить 4-5 шаров в масло и, переодически помешивая, обжариваем до золотистой корочки. | Готовые шары кладем на бумажное полотенце, чтобы стекли остатки масла. И так со всеми шарами. | Подавать теплыми."
186,"Запеканка из овсяных хлопьев ""Простушка""",масло_сливочное молоко сахар хлопья_овсяные яблоко,"Хлопья смешать с сахаром. | Обжарить хлопья с сахаром на сливочном масле, перемешивая постоянно. (Когда хлопья равномерно пропитаются маслом с сахаром, можно снимать.) | Поджаренные хлопья выложить равномерным слоем в форму. Яблоки очистить от кожуры и натереть на мелкой терке. Выложить тертые яблоки сверху на хлопья. Залить молоком. | Поставить в разогретую духовку на средний огонь, на 30 минут. Через 30 минут запеканка готова. | Приятного аппетита."
187,Перлотто с лесными грибами,бульон вино_белое грибы крупа_перловая лист_лавровый лук масло_оливковое приправа сливки сыр_твердый чеснок,"Перловку заранее промыть и замочить не менее, чем на 1 час. | В кастрюле с толстым дном нагреть оливковое масло, положить в него чеснок и лавровый лист. Когда специи отдадут свой запах, их вынуть. | Лук очистить и нарезать. | Грибы разморозить. Если грибы свежие, измельчить не очень мелко. | Лук слегка обжарить. Добавить специи. | Добавить грибы и также обжарить до полного испарения жидкости. | Положить отцеженную крупу и немного обжарить, чтоб масло впиталось в крупу. Влить вино и выпарить. | А теперь по одному половнику добавлять бульон и давать ему впитываться в крупу. Часто помешивать. Бульон должен всегда слегка покрывать крупу. Процедуру проводить до полного приготовления перловки. | В конце приготовления добавить сливки и прогреть перлотто со сливками."
188,Ньокки по-римски,желток_яичный крупа_манная масло_сливочное молоко пармезан соль,"Молоко доведите до кипения, уменьшите огонь до минимального и добавьте манку, непрерывно взбивая. Варите кашу, помешивая, 8-10 минут (каша будет очень густой). | Затем снимите с огня, добавьте 4 ст. л. размягченного масла и 1/2 стак. Пармезана, потом желтки, тщательно перемешайте. Посолите по вкусу. | Стол или лист бумаги для выпечки слегка увлажните. Выложите на него ""кашу"" и при помощи лопаточки разровняйте в пласт толщиной примерно 1 см. Оставьте на 40 минут, чтобы подсохло и немного затвердело. | Духовку разогрейте до 220 гр. Форму для выпечки смажьте. Из теста вырежьте кружки. | На дно формы выложите обрезки. Сбрызните растопленным маслом и посыпьте Пармезаном. Сверху чешуйками выложите кружки, снова сбрызните маслом и посыпьте Пармезаном. Продолжайте, пока не кончатся ингредиенты. По своему опыту скажу, что чем меньше слоев, тем вкуснее. Выпекайте 15-20 миунут до золотистой корочки. Подавайте, посыпав Пармезаном."
190,Суппли а-ля Аматричана в форме телефонной трубки,вода грудинка лук масло_растительное масло_сливочное перец_черный помидор рис соль сухари_панировочные сыр_твердый яйцо_куриное,"Рис с соусом делаем заранее, к примеру, утром, чтобы на обед или ужин готовить Супли. Для соуса мелко нарезать грудинку и лук. Обжарить на небольшом количестве масла, добавить помидоры и тушить на медленном огне 15 минут. | Пока соус тушится, отмерить рис. | В соус влить воду, немного посолить и поперчить. Когда закипит, добавить рис. Оставить вариться примерно 15 минут. | Снять с огня, добавить сливочное масло, перемешать и дать полностью остыть. | Затем добавить одно яйцо и натертый Пармезан. Выложить рис на противень или в низкую форму, накрыть пленкой и убрать в холодильник минимум на 4 часа. | Моцареллу нарезать на брусочки, 1см*5см. Приготовить два взбитых яйца и сухари. | Влажными руками взять немного риса, сформировать из него цилиндр 10 см длиной, вовнутрь положить брусочек сыра, хорошо закрыть, обмакнуть в яйце, затем обвалять в панировочных сухарях. Так проделать с оставшимся рисом. | Обжарить Супли во фритюре до золотистой корочки. Приятного аппетита!!!"
191,"Перловая каша ""Душа наша""",ассорти_овощное_(свежезамороженное) бульон крупа_перловая лук масло_оливковое помидор свинина специи чеснок шампиньоны,"Одновременно поставим варить перловку в подсоленной воде... | И обжариваем до золотистой корочки свинину, нарезанную на кубики 2x2 см, на небольшом количестве оливкового масла. | Добавить к мясу мелконарезанный лук, раздавленный ножом чеснок, растертую руками зиру, паприку, и томить на слабом огне минут 10, постоянно помешивая. Добавим овощную смесь и грибы. | Минут через 5 добавим мелко нарезанный помидор, удалив с него шкурку, обдав кипятком. Ещё потушим минут 5 и добавим перловку (слив воду). Добавляем стакан овощного бульона. Солим по вкусу. Закрываем крышкой и переключаем на медленный огонь, томится минут 30."
