,title,ingredients,instructions
122,"Гречневая каша ""Топленое молоко"" из духовки","Крупа гречневая — 1 стак. | Вода — 2,5 стак. | Молоко — 3 стак. | Масло сливочное — 30 г | Соль (по вкусу)","Растапливаем масло в сковороде с высокими бортиками (кастрюльке или любой другой емкости, подходящей для использования в духовке) | Добавляем в сковородку промытую гречку и прожариваем, помешивая, минуты 2-3 на среднем огне. | Заливаем кипящей водой и варим минут 5-7, помешивая. Солим по вкусу. | Добавляем горячее молоко и, размешав, ставим в предварительно нагретую духовку на упаривание на 1,5-2 часа (ближе к середине времени приготовления жар уменьшить). | Каша покроется тонкой коричневой молочной пленкой, которую легко удалить. | И можно кушать! Очень вкусно и так, но можно добавить и молоко или тертый сыр."
123,Ризотто с овощами,"Рис (круглый, например, Краснодарский) — 250 г | Вино белое сухое — 100 мл | Бульон (можно из кубиков, если не имеете ничего против. Я брала натуральный) — 1 л | Шафран (щепотка или куркума - 1 ч.л.) | Масло сливочное — 2 ст. л. | Пармезан (тертый) — 60 г | Кабачок — 1 шт | Форель (малосольная или семга) — 100 г | Спаржа (зеленая, консервированная. Можно свежую, тогда слегка отварить) — 3 шт | Лук репчатый — 1 шт","Кабачок нарезать на тончайшие пластины | Положить в кипящую воду на 2 минуты, вытащить и оставить подсыхать | Измельченную луковицу подрумянить в глубоком сотейнике в 2 ст. л. сливочного масла, добавить промытый рис и обжаривать 3 минуты | Добавить вино, помешивая, дождаться, когда оно впитается в рис, и влить треть от всего бульона. Очень важно правильно приготовить ризотто. Бульон добавляют порциями по мере его впитывания в рис. Перемешивать рис нужно очень часто. Два этих условия надо обязательно соблюдать, если хотите получить правильную консистенцию ризотто. | Теперь добавить шафран (куркуму) и прогревать рис, пока он не впитает эту порцию бульона. Затем снова подлить бульон, прогреть, добавить последнюю треть бульона, варить рис 10 минут, подмешать в него 2 ст. ложки сливочного масла, тертый пармезан и соль по вкусу. В конце приготовления рис будет вязким. Так и должно быть. Рассыпчатая рисовая каша - это не ризотто. | Каждый из трех стеблей спаржи обернуть ломтиками форели | Форму смазать маслом, положить в нее пластины кабачка немного внахлест, половину ризотто, спаржу в форели | Затем снова оставшийся рис и закрыть нетоварными остатками кабачка | Прикрыть фольгой. Запекать в духовке 25 минут (180 градусов). За 5 минут до конца фольгу снять. Вытащить из духовки, дать немного остыть, перевернуть на блюдо. | Ну, очень вкусная штукенция, доложу я вам!"
124,Гречневая каша в горшочках с белыми грибами и мясом,Крупа гречневая | Грибы (белые сухие) | Бульон (говяжий) | Масло сливочное | Лук репчатый | Говядина (толстый край),"Горшочки оставила вымачивать на час где-то. | Крупу тем временем обжарила на чугунке. Вытащила из морозилки говяжий бульон, замочила белые грибы (кстати, замачиваю я не крутым кипятком, а 70-ти градусным где-то). | Растопила немного ги, нарезала и обжарила целую луковицу и белые грибы (из воды вытащила, воду оставила-немного ее подсолив) | Вытащила горшочки, насыпала крупу, порезала кубиками вчерашний стейк, закинула. | Бульон уже разморозился к тому времени, я залила его и немного грибной воды. Все утрамбовала в горшочках (жидкость должна хорошо покрывать). Духовка уже была разогрета до 150 градусов, температуру оставила такую же, горшки отправила на 1 (час):45 (сорок пять) минут"
125,"Жареный рис ""По-японски""","Рис (отварной, лучше японский или ""для суши"") — 330 г | Грудинка (копчёная) — 150 г | Лук репчатый (половина луковицы среднего размера) — 80 г | Кукуруза (замороженная) — 60 г | Яйцо куриное — 3 шт | Лук зеленый (по вкусу) — 2 шт | Соевый соус — 1,5 ст. л.","1. Нарезать мелко репчатый лук и грудинку. | 2. Яйца разболтать в мисочке (сильно не взбивать, иначе пышно не получится). | 3. Разогреть сковороду, налить растительное масло. Вылить в сковороду яйца и быстро обжарить на сильном огне, постоянно помешивая. ""Омлет"" должен получиться пышный и полусырой. Отложить на отдельную тарелку. | 4. В сковороде обжарить лук, грудинку, кукурузу. | 5. Добавить рис. Можно по вкусу добавить мелко порезанный чеснок. Вконце - соевый соус. Всё перемешать, ещё чуть-чуть подержать на огне. | 6. Соединяем с ""омлетом"". Хорошенько перемешиваем. | 7. Готовое блюдо можно украсить мелко нарезанным зелёным луком."
126,Рисовые маффины,Рис — 1/2 стак. | Яйцо куриное — 2 шт | Курица (отварная) — 150 г | Сыр твердый — 100 г | Сливки — 3 ст. л. | Арахис (жареный) — 50 г | Куркума — 1/2 ч. л. | Соль (по вкусу) | Перец черный (по вкусу),"Мясо нарезать мелкими кусочками, сыр натереть. | Яйца взбить со сливками, добавить соль и перец по вкусу. | Во взбитую смесь добавить куриное мясо. | Рис отварить (в стакане воды), остудить. Добавить сыр, куркуму и арахис. Все перемешать. | В формочки разложить 2/3 риса с сыром. У меня формочки силиконовые, поэтому я их не смазывала. | Потом разложить мясо. Если останется яичная смесь, аккуратно залейте ее в формы. Она заполнит пустоты в рисовом слое. | Сверху распределите оставшийся рис. | Выпекайте в духовке при 180*С 15-20 минут. Приятного аппетита!"
127,"Жареный рис по-тайски ""Кау Пад""","Перец сладкий красный — 1 шт | Перец чили (красный) — 1 шт | Яйцо куриное — 1 шт | Масло оливковое — 1 ст. л. | Лук репчатый (нарезанный кольцами) — 2 шт | Чеснок — 3 зуб. | Бульон (куриный или кипяченая вода) — 3 ст. л. | Соевый соус — 3 ст. л. | Карри — 1 ст. л. | Сахар — 1 ч. л. | Орехи кешью / Кешью (жареные, не соленые) — 100 г | Рис (вареный) — 500 г | Ананас (кусочками) — 150 г | Креветки (отварные, очищенные) — 200 г | Лук зеленый — 2 пуч. | Филе куриное — 300 г","Основа – сваренный заранее и лучше всего, уже остывший рис. Можно взять вчерашний. Рис – сорта Жасмин, длиннозерный. Но, строго говоря, жарить можно любой рис, даже коричневый. Главное, чтобы он был чуток суховат, крепок, чтобы зерна не разваливались и не превращались в кашу. Нужно заранее подготовить все ингредиенты, т. к весь процесс приготовления требует быстрой закладки продуктов. Итак, разогреем оливковое масло на сковороде, добавим лук кольцами, красный болгарский перец (нарезанный брусочками), красный перец чили, чеснок и обжарим 1-2 минуты, огонь должен быть очень сильным. Все яростно мешаем. | Вливаем слегка взбитое яйцо и жарим еще 1 минуту. | Добавляем куриный бульон, соевый соус, карри и сахар, все мешаем. | Добавляем нарезанное куриное филе и жарим 5 минут. | Всыпаем кешью, перемешиваем. | Добавляем рис (следим, чтобы не было комочков), креветки и ананас. Перемешиваем. | Жарим 5 минут, снимаем с огня, добавляем нарезанный зеленый лук, перемешиваем. | И, к столу! Сверху посыпаем еще зеленым луком и... мысленно отправляемся в Тайланд!"
128,Японский омрайс,"Рис (лучше японский или для суши) — 180 г | Вода — 180 мл | Бедро куриное (без косточки) — 180 г | Морковь — 80 г | Шампиньоны — 60 г | Лук репчатый (маленький) — 1 шт | Кетчуп — 60 мл | Яйцо куриное (на одну порцию) — 2 шт | Майонез — 1 ч. л. | Масло сливочное (для жарки) | Специи (соль, перец, по вкусу) | Масло растительное (для жарки)","Промытый рис замочить в чистой воде и оставить на 20 минут. | Мелко нарезать куриные бёдра, морковь, лук, шампиньоны. | В большой сковороде на сливочном масле обжариваем бёдра, морковь, лук, шампиньоны. | Добавляем соль, перец, кетчуп. | В кастрюлю (желательно, толстостенную) выложить рис, смесь из сковороды, залить водой (180мл), накрыть крышкой и довести до кипения (не открывая крышку!), после чего убавить огонь и варить ещё 5 минут. | Когда на поверхности не останется воды, выключить огонь и оставить на 15 минут под крышкой. | Выложить на тарелки. Можно на этом остановиться и есть то, что получилось - уже вкусно:) В Японии это блюдо называется ""Чикин-райс"". | В маленькой мисочке смешать яйца, соль, перец, майонез (сильно не взбивать). Поджарить омлет на сильном огне на растительном масле (масла побольше). | Выложить омлет на рис, кетчупом нарисовать всё, что Вы хотите (например, смешную мордочку). Приятного аппетита!"
129,Кус-кус с ванильным соусом и фруктами,"Кус-кус — 150 г | Вода — 1 стак. | Молоко — 1 стак. | Яйцо куриное — 2 шт | Сахар — 0,5 стак. | Мука пшеничная / Мука — 1 ч. л. | Ванилин — 0,5 ч. л. | Цедра апельсина (тертая) — 1 ч. л. | Фрукты (любые, у меня манго и киви) | Цукаты (любые, у меня вяленая вишня) | Масло сливочное (необязательно) — 2 ст. л.","Кус-кус насыпаем в глубокую мисочку и заливаем кипятком миллиметров на 4-5 выше уровня крупы. Вода моментально впитывается, поэтому на фото не очень понятен уровень воды. (Если вы любите десерты послаще, предварительно в кипяток, которым будете заливать крупу, добавьте пару столовых ложек сахара и щепотку соли.) Накрываем крышкой и даем постоять минут 5. | У меня всегда в морозилке хранятся апельсиновые шкурки. Просто я никогда их не выбрасываю, а складываю в целофановый мешочек и замораживаю. | Пока они замороженные и твердые с них очень легко снять цедру, просто потерев ее на терке. | Тем временем приготовим ванильный соус. В молоко добавляем яйца, сахар, муку. Тщательно перемешиваем и помещаем на огонь. Постоянно помешивая, доводим до кипения. Снимаем с огня, добавляем ванилин и (или) апельсиновую (лимонную) цедру и сливочное масло. Снова все перемешиваем. | Миску с кус-кусом переворачиваем на тарелку и он формируется аккуратной горкой. | Горку обильно поливаем соусом, украшаем фруктами. Соуса получается довольно много, поэтому им можно дополнительно поливать десерт индивидуально в тарелке :-)"
130,Японский соборо-дон,"Рис (вареный, лучше японский или для суши) — 330 г | Фарш куриный — 300 г | Горошек зеленый (сладкий, можно заменить зеленой фасолью) — 100 г | Соевый соус — 3,5 ст. л. | Сахар — 3,5 ст. л. | Вино белое полусухое (или саке) — 3 ст. л. | Мед — 0,5 ст. л. | Имбирь (корень тертый) — 0,5 ст. л. | Яйцо куриное — 4 шт | Соль (чуть-чуть)","Сладкий горошек отварить (2-3 минуты), откинуть на дуршлаг, нарезать наискосок (каждую штучку на 3 части). | В сковороде смешать соевый соус, сахар (2,5 ст. л.), саке, мёд, поставить на огонь. Когда смесь закипит, добавить фарш. Постоянно помешивая (желательно палочками), обжариваем фарш в этой смеси, убавляем огонь и добавляем имбирь. | Продолжаем уваривать на среднем огне, постоянно помешивая, до тех пор, пока вся вода не выпарится. После этого сковороду ставим на мокрое полотенце, чтобы быстро охладить. Не забываем помешивать. В результате этого действия фарш получается блестящий и аппетитный. | В отдельной миске смешать яйца, сахар (1 ст. л.) и чуть-чуть соли. Обжарить на сковороде, быстро перемешивая палочками. Периодически (2-3 раза) ставим сковороду на холодное мокрое полотенце (тогда смесь получается нежнее). | В глубокую тарелку выкладываем рис, сверху раскладываем горошек, фарш, яичный омлет. Приятного аппетита!"
131,Булгур,Булгур (крупномолотый) — 1 стак. | Вода (горячая + для мытья булгура) — 2 стак. | Соль — 1 ст. л. | Масло сливочное — 1 ст. л.,"Насыпаем в кастрюлю булгур, добавляем 1 ст.л. соли и три раза промываем кипятком. | Добавляем сливочное масло и обжариваем в течение 5 минут на среднем огне. Затем добавляем 2 ст. кипятка, солим по вкусу, размешиваем, закрываем крышкой и ставим на самый маленький огонь на 25-30 минут. | Через 25-30 минут открываем крышку, смотрим: если воды нет, то наш булгур готов. Далее кладем полотенце, сверху накрываем крышкой и даем постоять 10 минут. | Булгур готов. Приятного аппетита!"
132,Бубертс,"Изюм (по желанию) — 1 горст. | Яйцо куриное — 4 шт | Миндаль (очищенный, измельченный) — 50 г | Молоко — 500 мл | Ванильный сахар — 1 ч. л. | Сахар — 3-4 ст. л. | Крупа манная — 100-120 г | Соль (по вкусу) | Масло сливочное (для смазывания формы) — 0,5 ст. л.","В закипающее молоко тонкой струйкой всыпаем крупу и, постоянно помешивая, варим пару минут. | Желтки отделяем от белков. Когда каша остыла до 80-70 градусов, добавляем к ней измельченный очищенный миндаль, изюм (по желанию) и желтки, перемешанные с сахаром. | Отдельно взбиваем белки с щепоткой соли и ванильным сахаром и аккуратно вводим в кашу. | Выливаем массу в смазанную сливочным маслом и обильно обсыпанную манной крупой форму. | Выпекаем до золотистой корочки в разогретой до 180 градусов духовке. | Подавать можно как теплым, так и остывшим. Вкусно полить сметаной или медом."
133,Индийский плов с орехами,Рис — 1 стак. | Вода — 2 стак. | Лук репчатый — 1 шт | Морковь (средняя) — 1 шт | Чеснок — 1-2 зуб. | Фундук — 40 г | Соль (по вкусу) | Кардамон — 1/2 ч. л. | Карри (без горки) — 1 ч. л. | Кумин — 1/2 ч. л. | Масло растительное (для жарки) | Лист лавровый — 1 шт,"Автор рецепта рекомендует замочить рис как минимум на 30 минут. Но я, имея опыт приготовления такого риса, могу сказать, что если нет времени или желания, то легко можно отказаться от этого шага. Результат и в том, и в другом случае будет отличный! Итак, займёмся овощами. Лук мелко нарезать, морковку натереть, чеснок пропустить через пресс или мелко нарезать. | На разогретую сковороду налить растительное масло (так, чтобы покрыло дно). Добавить лук, чеснок, морковь. Жарить на среднем огне 3-4 минуты, помешивая. Если замачивали рис, слить с него воду. | В сковороду к овощам добавить рис. Добавить пряности. Автор предлагает кроме кардамона использовать тмин и кориандр, но я использовала кумин и карри. А, вообще, набор пряностей можете менять в зависимости от предпочтений и настроения. Жарить ещё 2-3 минуты, постоянно помешивая рис и овощи так, чтобы рисовые зерна полностью покрылись маслом. | Залить плов водой, добавить лавровый лист, посолить и поперчить по вкусу. Довести плов до кипения на среднем огне, убавить огонь. Когда вода почти вся впитается в рис, накрыть сковороду крышкой и готовить на медленном огне 10-15 минут. | Снять сковороду с огня, не открывая крышку. Дать плову постоять 5 минут. Вынуть из плова лавровый лист. Добавить орехи. | Размешать плов и подавать на стол. При желании можно украсить зеленью."
134,"Ньокки ""по-римски""",Молоко — 1 л | Крупа манная — 250 г | Желток яичный — 2 шт | Соль | Орех мускатный (молотый) | Пармезан (или грана падано) — 100 г | Сыр голландский (или другой твердый сыр) — 100 г | Масло сливочное — 80 г,"Доводим молоко до кипения. Добавляем соль, мускатный орех и 40г сливочного масла. Постепенно всыпаем в молоко манную крупу и варим, все время помешивая, 5-10 мин. Убираем с огня и добавляем 2 сырых желтка и 50г тертого пармезана (или грана падано). Хорошо все перемешиваем. Большую разделочную доску или противень смачиваем водой и выкладываем на него приготовленную массу. Разравниваем широким ножом (смачиваем нож в воде, чтобы масса не прилипала). Должен получиться ровный слой высотой в 1см. Оставляем остужать (при комнатной температуре!). | Вырезаем стаканом или формочкой кружочки и выкладываем на смазанный маслом противень. Поливаем растопленным сливочным маслом и посыпаем тертым пармезаном и голландским сыром. | Запекаем в духовке, разогретой до 200град., около 20 мин. (до образования золотистой корочки). Приятного аппетита!"
135,"Рис ""Пастэль""","Рис (сырой) — 1 стак. | Шампиньоны — 200 г | Овощи (замороженные) — 1 стак. | Сыр твердый — 100 г | Зелень (свежая, у меня - петрушка и немного кинзы)","Промываем рис и ставим вариться до полу готовности. Солим по вкусу. | Грибы порезать кусочками и жарить вместе с овощами на сковородке. | На грибы с овощами выкладываем рис и продолжаем тушить до готовности риса. | Сыр трем на терке и выкладываем в сковородку. Ждем, пока растает. | Мелко режем зелень и добавляем в сковородку. Перчим по вкусу. | Двумя ложками формируем котлетки и выкладываем на тарелку. Украшаем зеленью. Можно подавать с мясом или свежими овощами."
136,Ризотто из одуванчика и зелeного горошка,"Рис — 180 г | Лист цветочный (одуванчика, молодого одуванчика) — 150 г | Горошек зеленый (молодой) — 100 г | Вино белое сухое — 1/3 стак. | Лук зеленый (молодой) — 2 шт | Масло растительное (желательно оливковое) — 2 ст. л. | Чеснок — 1 зуб. | Вода (горячая кипячёная ) — 1/2 л | Соль","Наши продукты: рис длинненький, для ризотто; одуванчик молодой; лук зелёный молодой с перьями. Листья одуванчика положить в холодную воду на 20-30 минут. Если одуванчик молодой (а здесь он нужен молодой), то он не горький! | В кастрюле на разогретом масле потушить зелёный лук и зубчик чеснока. Добавить мелко нарезанный одуванчик. | Добавить немного воды и оставить тушиться минут 5. | Добавить рис, немного пожарить его. | Затем добавить вино. Когда вино выпарится, добавить немного воды, закрыть крышкой и оставить варится рис на медленном огне, постепенно подливая воду. | Когда рис будет ещё ""аль денте"", добавить зелёный горошек и оставить вариться примерно 3-4 минуты (горошек и рис не должны быть разваренными)."
137,Кус-кус с курицей по-мароккански,"Кус-кус — 350 г | Филе куриное — 2 шт | Перец болгарский (красный и зеленый) — 2 шт | Помидор — 3 шт | Лук репчатый — 1 шт | Изюм — 3 ст. л. | Уксус (винный) — 5 ст. л. | Специи (соль, перец - по вкусу) | Петрушка — 1 пуч. | Лук зеленый — 1 пуч. | Сыр твердый (натереть по вкусу)","Для начала, изюм замочить в винном уксусе и оставить его на 20-25 мин. | Перец надо запечь в духовке или на гриле... я запекла в духовке... пока пекся карибский пирог))), после этого сразу положить его в пакет и оставить на несколько минут. Все это для того, чтобы легко и без проблем снять кожицу. | Создаем баньку для перца )) и кожица прям сама снимается, очень удобно. Ну, Америку, я естественно никому таким способом не открыла... так, напомнила ;-) | С помидорами поступаем чуть иначе, заливаем их кипятком.. | Опять же для того, чтобы снять кожицу. | Теперь очищенный перец и помидоры нарезаем кубиками. | Помидоры положить в сито, чтобы лишний сок стек. | Потом смешать их с изюмом (отжать его), перцем. Посолить, поперчить и добавить 3 ст. л. оливкового масла... у меня не было, я добавила обычное подсолнечное. Вот такой маринад получился, положить его на 30 мин в холодильник! | Тем временем, лук мелко порезать, обжарить на сковородке. | Через пару минут добавить к луку нарезанное кубиками филе. Обжарить до готовности. В конце посолить и поперчить. | Теперь займемся кус-кусом. Так как это крупа очень мелкая и нежная, то достаточно залить его кипятком и он уже готов. Так и поступаем. И еще добавляем 1 ст. л. масла растительного. | Ну вот и все, почти)) Готовый кус-кус перемешиваем с филе курицы и маринадом. Добавляем мелко нарезанную зелень укропа и лука."
138,Постные котлеты из геркулеса,"Хлопья овсяные — 1 стак. | Вода (кипяток) — 2 стак. | Картофель — 1 шт | Лук репчатый — 1-3 шт | Чеснок — 3-5 зуб. | Соль | Специи | Зелень (по желанию, можно сушеную) | Масло растительное (для жарки)","Нам потребуется. | Заливаем геркулес кипятком, даем постоять 30-40 минут. | Перекручиваем картофель, лук, чеснок. Добавляем в геркулес, также добавляем: соль, специи, зелень; перемешиваем. Жарим на сковороде. | Приятного аппетита! Легкого поста)"
140,"Гречневая ""Слоенка"" с морковью и грибами","Крупа гречневая — 200 г | Морковь — 200 г | Лук репчатый (крупный) — 1 шт | Грибы (у меня были опята, собранные летом, отваренные и замороженные) — 250 г | Орехи грецкие — 100 г | Масло растительное | Соль | Перец черный (молотый) | Соевый соус (по желанию)","Гречневую крупу отварить в подсоленой воде до готовности. Обычно я заливаю гречку водой 1:2, довожу до кипения, солю, уменьшаю огонь до минимума и варю под крышкой 20 минут. В этот раз у меня была гречка в пакетиках для варки, варила согласно инструкции на упаковке. Грибы разморозила. Нарезала довольно мелко. Как уже писала, у меня были собственноручно собранные опята, предварительно отваренные и замороженные. Я их просто разморозила, ничего с ними не делала больше. Если брать свежие грибы, например, шампиньоны, мне кажется, что их нужно предварительно обжарить в небольшом количестве растительного масла. Готовую гречку смешиваем с половиной подготовленных грибов, если нужно, досаливаем и укладываем слоем в форму, слегка смазанную растительным маслом. Разравниваем. | Лук режем четвертинками колец, морковь трем на крупной терке, обжариваем на растительном масле. Солим, перчим. | Выкладываем лук с морковью на гречку вторым слоем. | Далее выкладываем слоем оставшуюся часть грибов. Опята при варке темнеют, если будут использоваться шампиньоны, цвет у них будет более аппетитный )). Посыпаем немного солью и перцем. Немного поливаем сверху растительным маслом и посыпаем рубленными орехами. Я не очень мелко их рубила, не в ""крошку"". Отправляем в предварительно разогретую духовку на 15 минут при средней температуре. | Немного остужаем и можно приступать к трапезе! | Я еще немного полила соевым соусом, т. к. мне показалось, что мало соли. Соевый соус очень хорошо сюда ""вписался"", на мой вкус. Приятного аппетита!"
141,"Жареный рис ""Яки Меши"" с курицей","Рис (для суши) — 2 стак. | Морковь (тертая, соломкой) — 70 г | Лук зеленый — 30 г | Бедро куриное (без кости) — 3 шт | Вино рисовое (мирин) — 1 ст. л. | Соус (унаги - 1 ст.л.; якитори - 1 ст.л.; ворчестер - 1 ст.л.) — 3 ст. л. | Уксус (рисовый) — 1 ст. л. | Соевый соус — 8 ст. л. | Чеснок — 2 зуб. | Масло растительное","Подготовим все продукты. Начнем с риса. Хорошо его промоем, раз 10 не меньше, выложим в кастрюлю с двойным дном, зальем водой 1:1/2, то есть на одну порцию риса добавим одну с половиной порции воды, неважно чем измеряете - кружками или пиалами, главное, чтоб пропорции были соблюдены. Поставим рис вариться на сильный огонь пока не закипит, когда рис закипел, снижаем огонь до минимума и накрываем крышкой, оставляем его вариться на 12 минут. После того, как рис сварился, снимаем крышку и между кастрюлей и крышкой положим 2 бумажных полотенца, закрываем крышку. Так рис можно оставить на несколько часов. Для этого блюда лучше рис готовить заранее, чтоб во время приготовления самого ""Яки Меши"" рис был слегка теплым или почти холодным. Займемся овощами, морковку потереть на ""корейской терке"" (70г. это около половины крупной морковки), а лук режем наискосок. Чеснок потрем на мелкой яблочной терке. | От бедер отделим косточку и порежем мясо на небольшие кубики вместе со шкуркой. | Теперь о соусах. Именно они делают это блюдо таким вкусным и необычным, каким оно есть. Тут очень важно качество соусов. Я предпочитаю ""Kikkoman"", именно они делают настоящий соевый соус на территории Европы, это не реклама, это мое личное мнение, как любителя соевого соуса попробовавшего не одну марку. Смешаем все соусы по 1 ст. л, кроме соевого, его добавим гораздо больше. Ну все, в принципе можно приступать. | Хорошо разогреем сковороду вок, или любую другую сковороду с высокими бортами, нальем туда немного растительного масла и кинем нашу курочку. Жарим ее до белого цвета, постоянно помешивая, потом закидываем лук и морковь. Правда красиво? :-) | Когда овощи пустят сок, добавим чеснок. Еще немного потушим и зальем водой, немного, так, чтоб слегка покрыть мясо, убавим огонь и накроем крышкой. Вода нужна, чтоб мясо потушилось и стало нежнее. Через минут 6-7 снимаем крышку и тушим пока не испариться вся вода, постоянно помешивая. | Добавляем наш соус, ждем пока он закипит, и частями добавляем рис. Этот момент самостоятельно сфотографировать невозможно, ибо делать все надо быстро, поэтому у меня и нет такого фото. Быстро помешиваем рис, чтобы он стал одного цвета, и жарим его до полного исчезновения жидкости - это не больше 3-5 минут. | Ну вот наш рис и готов."
142,Кус-кус с маринованным куриным филе,Филе куриное — 500 г | Кус-кус — 250 г | Имбирь (натертый) — 1 ч. л. | Лайм — 1 шт | Перец красный жгучий — 1/2 ч. л. | Орехи кешью / Кешью — 100 г | Лук зеленый (перья) — 3 шт | Зира — 1 ч. л. | Карри — 1/2 ч. л. | Барбарис (сушеный) — 1 ст. л. | Бульон (куриный) — 500 мл | Соль | Масло растительное (для жарки),"Куриное филе нарезать на брусочки. Добавить 1 ч. л. тертого имбиря, сок и цедру одного лайма, красный перец, соль. Хорошо перемешать. Оставить на 30 минут мариноваться. | Через указанное время пожарить филе в хорошо разогретом растительном масле 7-10 минут. Жарить вместе с маринадом пока не испарится жидкость. За несколько минут до готовности добавить кешью, зиру, карри, барбарис, мелко нарезанный зеленый лук. | Сделать меньше огонь, аккуратно влить в сковороду 500мл горячего куриного бульона, дать вскипеть. Если нужно, досолить. Засыпать кус-кус. Хорошо перемешать. Снять с огня, закрыть крышкой. Оставить на 5-10 минут. Перемешать еще раз и - готово. | Приятного аппетита!"
143,"Ризотто с шафраном, спаржей и черри",Рис (арборио) — 350 г | Спаржа (зелёная) — 500 г | Лук репчатый — 1 шт | Шафран (у меня - порошковый) — 1 г | Масло сливочное — 80 г | Пармезан — 80 г | Соль | Помидоры черри — 200-250 г | Вода (или бульон) — 1 л | Сахар | Перец черный,"Свежую зелёную спаржу промыть и отрезать низ стебля, твёрдую часть, примерно 3 см. | Разрезать спаржу на 2-3 части. | Вскипятить воду. Добавить соль, 0,5 ч. л. сахара и 1 ст. л. сливочного масла. Опустить спаржу в кипящую воду и варить 7-8 минут. | В кастрюлю с 2 ст. л. сливочного масла добавить порезанный лук, немного протушить. | Шафран залить небольшим количеством воды. | В кастрюлю с луком добавить рис. Огонь не увеличивать. Протушить рис вместе с луком, помешивая, несколько минут. | Влить стакан (200 мл) воды или бульона (белое сухое вино - как вариант). При этом рис нужно постоянно мешать, пока он не впитает всю жидкость. | Добавить разведённый водой шафран. И постепенно влить оставшуюся воду (бульон). Помешивая, тушить 10 мин., пока ризотто не проибретёт кремовую консистенцию. | Помидорки черри ошпарить кипятком и очистить от кожицы (я опустила их в кипящую воду со спаржей). | В ризотто добавить кусочек сливочного масла (приблизительно 2 ст. л.) и тёртый пармезан. | Добавить спаржу (предварительно сцеженную) и помидорки черри. | Аккуратно перемешать и сразу же подавать. | Приятного аппетита! Наиболее приближённый по составу рецепт - у sana swiss, добавляю вариантом."
